Date,Open*,High,Low,Close**,Volume,Market Cap
31-Dec-21,4.742E-08,4.964E-08,4.71E-08,4.85E-08,13962909,0
30-Dec-21,4.892E-08,4.908E-08,4.539E-08,4.741E-08,12751490,0
29-Dec-21,4.721E-08,5.357E-08,4.667E-08,4.892E-08,14126982,0
28-Dec-21,5.055E-08,5.064E-08,4.552E-08,4.721E-08,11122305,0
27-Dec-21,0.00000005,5.099E-08,4.868E-08,5.055E-08,11947084,0
26-Dec-21,5.725E-08,5.879E-08,4.993E-08,4.995E-08,24591674,0
25-Dec-21,4.476E-08,5.734E-08,4.305E-08,5.734E-08,17957294,0
24-Dec-21,4.602E-08,4.611E-08,4.42E-08,4.474E-08,12152768,0
23-Dec-21,4.506E-08,4.724E-08,4.416E-08,4.602E-08,11880693,0
22-Dec-21,4.954E-08,5.091E-08,4.472E-08,4.509E-08,18358601,0
21-Dec-21,4.592E-08,5.127E-08,4.422E-08,4.957E-08,17540756,0
20-Dec-21,4.842E-08,5.151E-08,4.402E-08,4.589E-08,17267743,0
19-Dec-21,3.826E-08,5.348E-08,3.826E-08,4.845E-08,35636942,0
18-Dec-21,3.469E-08,4.453E-08,3.384E-08,3.826E-08,21253549,0
17-Dec-21,3.546E-08,3.69E-08,3.233E-08,3.467E-08,22676187,0
16-Dec-21,3.84E-08,3.96E-08,3.537E-08,3.543E-08,12984287,0
15-Dec-21,3.915E-08,4.116E-08,3.411E-08,3.84E-08,23293717,0
14-Dec-21,4.004E-08,4.082E-08,3.75E-08,3.939E-08,14549068,0
13-Dec-21,4.509E-08,4.512E-08,3.95E-08,4.005E-08,12296881,0
12-Dec-21,4.565E-08,4.712E-08,4.385E-08,4.508E-08,12198252,0
11-Dec-21,4.395E-08,4.666E-08,4.14E-08,4.566E-08,12875514,0
10-Dec-21,4.375E-08,4.689E-08,4.045E-08,4.399E-08,19088234,0
9-Dec-21,4.793E-08,4.867E-08,4.311E-08,4.376E-08,17587033,0
8-Dec-21,5.269E-08,5.727E-08,4.59E-08,4.797E-08,18925314,0
7-Dec-21,4.464E-08,5.267E-08,4.464E-08,5.259E-08,15080903,0
6-Dec-21,4.593E-08,0.000000047,3.636E-08,4.462E-08,29089583,0
5-Dec-21,4.503E-08,5.072E-08,3.361E-08,4.592E-08,76858879,0
4-Dec-21,6.116E-08,6.304E-08,3.798E-08,4.48E-08,46319660,0
